date,score
18/02/2011 04:55,0.679487179
18/02/2011 04:56,0.757774141
18/02/2011 04:57,0.694117647
18/02/2011 04:58,0.700434153
18/02/2011 04:59,0.733128834
18/02/2011 05:00,0.689415042
18/02/2011 05:01,0.692969871
18/02/2011 05:02,0.678899083
18/02/2011 05:03,0.693522907
18/02/2011 05:04,0.67550702
18/02/2011 05:05,0.713859911
18/02/2011 05:06,0.714285714
18/02/2011 05:07,0.733736762
18/02/2011 05:08,0.714285714
18/02/2011 05:09,0.707936508
18/02/2011 05:10,0.69521045
18/02/2011 05:11,0.697196262
18/02/2011 05:12,0.721875
18/02/2011 05:13,0.667226891
18/02/2011 05:14,0.679032258
18/02/2011 05:15,0.721698113
18/02/2011 05:16,0.724409449
18/02/2011 05:17,0.746105919
18/02/2011 05:18,0.723826715
18/02/2011 05:19,0.718032787
18/02/2011 05:20,0.690938511
18/02/2011 05:21,0.696763203
18/02/2011 05:22,0.738562092
18/02/2011 05:23,0.706666667
18/02/2011 05:24,0.6992
18/02/2011 05:25,0.669051878
18/02/2011 05:26,0.661101836
18/02/2011 05:27,0.669158879
18/02/2011 05:28,0.709677419
18/02/2011 05:29,0.688442211
18/02/2011 05:30,0.691562932
18/02/2011 05:31,0.672212978
18/02/2011 05:32,0.630088496
18/02/2011 05:33,0.712480253
18/02/2011 05:34,0.665610143
18/02/2011 05:35,0.715008432
18/02/2011 05:36,0.747404844
18/02/2011 05:37,0.671768707
18/02/2011 05:38,0.692035398
18/02/2011 05:39,0.715827338
18/02/2011 05:40,0.709836066
18/02/2011 05:41,0.704467354
18/02/2011 05:42,0.696696697
18/02/2011 05:43,0.700176367
18/02/2011 05:44,0.720613288
18/02/2011 05:45,0.688
18/02/2011 05:46,0.708703375
18/02/2011 05:47,0.712068966
18/02/2011 05:48,0.729681979
18/02/2011 05:49,0.708943089
18/02/2011 05:50,0.737288136
18/02/2011 05:51,0.737122558
18/02/2011 05:52,0.739965096
18/02/2011 05:53,0.723948812
18/02/2011 05:54,0.708178439
18/02/2011 05:55,0.691813804
18/02/2011 05:56,0.734463277
18/02/2011 05:57,0.7
18/02/2011 05:58,0.732673267
18/02/2011 05:59,0.725806452
18/02/2011 06:00,0.696969697
18/02/2011 06:01,0.741554054
18/02/2011 06:02,0.7392
18/02/2011 06:03,0.695583596
18/02/2011 06:04,0.678571429
18/02/2011 06:05,0.697297297
18/02/2011 06:06,0.672881356
18/02/2011 06:07,0.673735726
18/02/2011 06:08,0.73024055
18/02/2011 06:09,0.743377483
18/02/2011 06:10,0.685763889
18/02/2011 06:11,0.714285714
18/02/2011 06:12,0.742608696
18/02/2011 06:13,0.737458194
18/02/2011 06:14,0.692307692
18/02/2011 06:15,0.693574959
18/02/2011 06:16,0.719101124
18/02/2011 06:17,0.688311688
18/02/2011 06:18,0.688729875
18/02/2011 06:19,0.729241877
18/02/2011 06:20,0.714043993
18/02/2011 06:21,0.730550285
18/02/2011 06:22,0.718336484
18/02/2011 06:23,0.688644689
18/02/2011 06:24,0.721402214
18/02/2011 06:25,0.717728055
18/02/2011 06:26,0.735238095
18/02/2011 06:27,0.716694772
18/02/2011 06:28,0.74566474
18/02/2011 06:29,0.685964912
18/02/2011 06:30,0.702060222
18/02/2011 06:31,0.6875
18/02/2011 06:32,0.717996289
18/02/2011 06:33,0.666003976
18/02/2011 06:34,0.678638941
18/02/2011 06:35,0.666003976
18/02/2011 06:36,0.702166065
18/02/2011 06:37,0.727767695
18/02/2011 06:38,0.723163842
18/02/2011 06:39,0.696226415
18/02/2011 06:40,0.705992509
18/02/2011 06:41,0.749486653
18/02/2011 06:42,0.742574257
18/02/2011 06:43,0.706
18/02/2011 06:44,0.724786325
18/02/2011 06:45,0.737547893
18/02/2011 06:46,0.715909091
18/02/2011 06:47,0.70212766
18/02/2011 06:48,0.706422018
18/02/2011 06:49,0.730483271
18/02/2011 06:50,0.717190388
18/02/2011 06:51,0.733208955
18/02/2011 06:52,0.714801444
18/02/2011 06:53,0.672413793
18/02/2011 06:54,0.681912682
18/02/2011 06:55,0.691262136
18/02/2011 06:56,0.741472172
18/02/2011 06:57,0.69785575
18/02/2011 06:58,0.675471698
18/02/2011 06:59,0.698473282
18/02/2011 07:00,0.652684564
18/02/2011 07:01,0.64298725
18/02/2011 07:02,0.688206785
18/02/2011 07:03,0.687272727
18/02/2011 07:04,0.719858156
18/02/2011 07:05,0.68869936
