date,english,total
18/02/2011 04:55,0.679487179,312
18/02/2011 04:56,0.757774141,611
18/02/2011 04:57,0.694117647,680
18/02/2011 04:58,0.700434153,691
18/02/2011 04:59,0.733128834,652
18/02/2011 05:00,0.689415042,718
18/02/2011 05:01,0.692969871,697
18/02/2011 05:02,0.678899083,654
18/02/2011 05:03,0.693522907,633
18/02/2011 05:04,0.67550702,641
18/02/2011 05:05,0.713859911,671
18/02/2011 05:06,0.714285714,693
18/02/2011 05:07,0.733736762,661
18/02/2011 05:08,0.714285714,630
18/02/2011 05:09,0.707936508,630
18/02/2011 05:10,0.69521045,689
18/02/2011 05:11,0.697196262,535
18/02/2011 05:12,0.721875,640
18/02/2011 05:13,0.667226891,595
18/02/2011 05:14,0.679032258,620
18/02/2011 05:15,0.721698113,636
18/02/2011 05:16,0.724409449,635
18/02/2011 05:17,0.746105919,642
18/02/2011 05:18,0.723826715,554
18/02/2011 05:19,0.718032787,610
18/02/2011 05:20,0.690938511,618
18/02/2011 05:21,0.696763203,587
18/02/2011 05:22,0.738562092,612
18/02/2011 05:23,0.706666667,600
18/02/2011 05:24,0.6992,625
18/02/2011 05:25,0.669051878,559
18/02/2011 05:26,0.661101836,599
18/02/2011 05:27,0.669158879,535
18/02/2011 05:28,0.709677419,620
18/02/2011 05:29,0.688442211,597
18/02/2011 05:30,0.691562932,723
18/02/2011 05:31,0.672212978,601
18/02/2011 05:32,0.630088496,565
18/02/2011 05:33,0.712480253,633
18/02/2011 05:34,0.665610143,631
18/02/2011 05:35,0.715008432,593
18/02/2011 05:36,0.747404844,578
18/02/2011 05:37,0.671768707,588
18/02/2011 05:38,0.692035398,565
18/02/2011 05:39,0.715827338,556
18/02/2011 05:40,0.709836066,610
18/02/2011 05:41,0.704467354,582
18/02/2011 05:42,0.696696697,666
18/02/2011 05:43,0.700176367,567
18/02/2011 05:44,0.720613288,587
18/02/2011 05:45,0.688,625
18/02/2011 05:46,0.708703375,563
18/02/2011 05:47,0.712068966,580
18/02/2011 05:48,0.729681979,566
18/02/2011 05:49,0.708943089,615
18/02/2011 05:50,0.737288136,590
18/02/2011 05:51,0.737122558,563
18/02/2011 05:52,0.739965096,573
18/02/2011 05:53,0.723948812,547
18/02/2011 05:54,0.708178439,538
18/02/2011 05:55,0.691813804,623
18/02/2011 05:56,0.734463277,531
18/02/2011 05:57,0.7,580
18/02/2011 05:58,0.732673267,606
18/02/2011 05:59,0.725806452,558
18/02/2011 06:00,0.696969697,693
18/02/2011 06:01,0.741554054,592
18/02/2011 06:02,0.7392,625
18/02/2011 06:03,0.695583596,634
18/02/2011 06:04,0.678571429,588
18/02/2011 06:05,0.697297297,555
18/02/2011 06:06,0.672881356,590
18/02/2011 06:07,0.673735726,613
18/02/2011 06:08,0.73024055,582
18/02/2011 06:09,0.743377483,604
18/02/2011 06:10,0.685763889,576
18/02/2011 06:11,0.714285714,574
18/02/2011 06:12,0.742608696,575
18/02/2011 06:13,0.737458194,598
18/02/2011 06:14,0.692307692,559
18/02/2011 06:15,0.693574959,607
18/02/2011 06:16,0.719101124,623
18/02/2011 06:17,0.688311688,539
18/02/2011 06:18,0.688729875,559
18/02/2011 06:19,0.729241877,554
18/02/2011 06:20,0.714043993,591
18/02/2011 06:21,0.730550285,527
18/02/2011 06:22,0.718336484,529
18/02/2011 06:23,0.688644689,546
18/02/2011 06:24,0.721402214,542
18/02/2011 06:25,0.717728055,581
18/02/2011 06:26,0.735238095,525
18/02/2011 06:27,0.716694772,593
18/02/2011 06:28,0.74566474,519
